  0.005 5.2587e+03 
  0.006 5.2587e+03 
  0.006 5.2587e+03 
  0.007 5.2587e+03 
  0.008 5.2587e+03 
  0.009 5.2587e+03 
  0.010 5.2587e+03 
  0.011 5.2587e+03 
  0.012 5.2587e+03 
  0.014 5.2587e+03 
  0.016 5.2587e+03 
  0.017 5.2587e+03 
  0.019 5.2587e+03 
  0.022 5.2587e+03 
  0.024 5.2587e+03 
  0.027 5.2587e+03 
  0.031 5.2587e+03 
  0.034 5.2587e+03 
  0.038 5.2587e+03 
  0.043 5.2587e+03 
  0.048 5.2587e+03 
  0.054 5.2587e+03 
  0.060 5.2587e+03 
  0.068 5.2587e+03 
  0.076 5.2587e+03 
  0.085 5.2587e+03 
  0.095 5.2587e+03 
  0.106 4.5755e+03 
  0.119 3.6039e+03 
  0.134 2.8484e+03 
  0.150 2.3783e+03 
  0.167 1.9148e+03 
  0.188 1.7381e+03 
  0.210 2.3702e+03 
  0.235 1.7532e+03 
  0.263 1.0500e+03 
  0.295 8.2739e+02 
  0.330 6.7737e+02 
  0.370 5.4376e+02 
  0.414 4.3638e+02 
  0.464 3.5201e+02 
  0.520 2.8739e+02 
  0.582 2.4028e+02 
  0.652 2.0614e+02 
  0.730 1.8169e+02 
  0.818 1.6385e+02 
  0.916 1.4995e+02 
  1.026 1.3806e+02 
  1.149 1.2437e+02 
  1.286 1.1121e+02 
  1.441 9.7483e+01 
  1.614 8.3382e+01 
  1.807 7.0983e+01 
  2.024 6.0011e+01 
  2.267 4.9857e+01 
  2.538 4.0486e+01 
  2.843 4.4363e+01 
  3.184 4.2211e+01 
  3.566 2.3933e+01 
  3.993 1.9928e+01 
  4.472 1.7399e+01 
  5.008 1.4543e+01 
  5.609 1.3455e+01 
  6.282 1.3211e+01 
  7.035 1.2037e+01 
  7.879 1.0693e+01 
  8.824 1.3491e+01 
  9.882 2.6395e+01 
 11.068 2.5287e+01 
 12.395 2.0786e+01 
 13.882 1.5344e+01 
 15.546 1.3325e+01 
 17.411 1.5288e+01 
 19.499 1.4170e+01 
 21.838 1.0715e+01 
 24.457 8.2928e+00 
 27.390 6.4676e+00 
 30.675 5.1854e+00 
 34.354 4.5002e+00 
 38.474 4.3010e+00 
 43.089 4.2016e+00 
 48.256 3.6131e+00 
 54.044 2.8137e+00 
 60.526 2.3081e+00 
 67.785 1.8739e+00 
 75.915 1.5035e+00 
 85.019 1.2065e+00 
 95.216 9.7137e-01 
106.636 7.8899e-01 
119.425 6.5331e-01 
133.748 5.4185e-01 
149.789 4.5351e-01 
167.754 3.7271e-01 
187.873 2.9991e-01 
210.406 2.5086e-01 
235.640 2.0787e-01 
263.902 1.8141e-01 
295.552 1.5178e-01 
330.999 1.1859e-01 
370.697 9.3850e-02 
415.156 7.8920e-02 
464.948 6.2201e-02 
520.711 4.7872e-02 
583.162 4.0159e-02 
653.102 3.1522e-02 
731.432 2.4466e-02 
819.155 2.0940e-02 
917.400 1.6991e-02 
1027.427 1.2902e-02 
1150.650 9.4526e-03 
1288.653 6.7786e-03 
1443.206 5.4876e-03 
1616.295 4.5175e-03 
1810.144 3.6881e-03 
2027.242 3.0085e-03 
2270.377 2.4552e-03 
2542.672 2.0021e-03 
2847.625 1.6325e-03 
3189.152 1.3367e-03 
3571.639 1.0914e-03 
4000.000 8.9124e-04 
