@photons DONE: 1000000
@Total interactions: 3510663
@Interactions   percent of photons
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0     100.00000
