@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  5.62944800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.5382e-17  4.5217e+31  0.0000e+00    0
  5.77755200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.4178e-17  4.5363e+31  0.0000e+00    0
  5.92565600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.3056e-17  4.5499e+31  0.0000e+00    0
  6.07376000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.2009e-17  4.5627e+31  0.0000e+00    0
  6.22186400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1030e-17  4.5745e+31  0.0000e+00    0
  6.36996800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0114e-17  4.5857e+31  0.0000e+00    0
  6.51807200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9255e-17  4.5961e+31  0.0000e+00    0
  6.66617600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8450e-17  4.6059e+31  0.0000e+00    0
  6.81428000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7693e-17  4.6152e+31  0.0000e+00    0
  6.96238400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6981e-17  4.6238e+31  0.0000e+00    0
  7.11048800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6311e-17  4.6320e+31  0.0000e+00    0
  7.25859200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5679e-17  4.6397e+31  0.0000e+00    0
  7.40669600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5082e-17  4.6470e+31  0.0000e+00    0
  7.55480000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4519e-17  4.6539e+31  0.0000e+00    0
  7.70290400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3986e-17  4.6604e+31  0.0000e+00    0
  7.85100800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3482e-17  4.6666e+31  0.0000e+00    0
  7.99911200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3004e-17  4.6724e+31  0.0000e+00    0
  8.14721600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2551e-17  4.6780e+31  0.0000e+00    0
  8.29532000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2121e-17  4.6832e+31  0.0000e+00    0
  8.44342400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1712e-17  4.6882e+31  0.0000e+00    0
  8.59152800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1323e-17  4.6930e+31  0.0000e+00    0
  8.73963200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0954e-17  4.6975e+31  0.0000e+00    0
