fnum.dat : Freq / number of photon packets/ fpoint 
0.091868 1   277 
0.092606 1   278 
0.093351 1   279 
0.094101 1   280 
0.094857 1   281 
0.095620 1   282 
0.096389 1   283 
0.097163 1   284 
0.097944 2   285 
0.098732 1   286 
0.099525 1   287 
0.100325 1   288 
0.101132 1   289 
0.101945 1   290 
0.102764 2   291 
0.103590 1   292 
0.104423 1   293 
0.105262 2   294 
0.106109 1   295 
0.106962 2   296 
0.107821 1   297 
0.108688 2   298 
0.109562 1   299 
0.110443 2   300 
0.111330 1   301 
0.112225 2   302 
0.113127 2   303 
0.114037 1   304 
0.114953 2   305 
0.115877 2   306 
0.116809 2   307 
0.117748 2   308 
0.118694 2   309 
0.119649 2   310 
0.120610 2   311 
0.121580 2   312 
0.122557 2   313 
0.123542 2   314 
0.124536 2   315 
0.125537 3   316 
0.126546 2   317 
0.127563 2   318 
0.128588 3   319 
0.129622 2   320 
0.130664 3   321 
0.131714 2   322 
0.132773 3   323 
0.133840 3   324 
0.134916 3   325 
0.136001 3   326 
0.137094 3   327 
0.138196 3   328 
0.139307 3   329 
0.140427 3   330 
0.141556 3   331 
0.142694 3   332 
0.143841 4   333 
0.144997 3   334 
0.146162 4   335 
0.147337 4   336 
0.148522 3   337 
0.149716 4   338 
0.150919 4   339 
0.152132 4   340 
0.153355 4   341 
0.154588 4   342 
0.155831 5   343 
0.157083 4   344 
0.158346 5   345 
0.159619 4   346 
0.160902 5   347 
0.162195 5   348 
0.163499 5   349 
0.164813 5   350 
0.166138 5   351 
0.167474 5   352 
0.168820 6   353 
0.170177 6   354 
0.171545 5   355 
0.172924 6   356 
0.174314 6   357 
0.175715 6   358 
0.177128 6   359 
0.178552 7   360 
0.179987 6   361 
0.181434 7   362 
0.182892 7   363 
0.184362 7   364 
0.185844 7   365 
0.187338 8   366 
0.188844 7   367 
0.190362 8   368 
0.191892 8   369 
0.193435 8   370 
0.194990 8   371 
0.196557 9   372 
0.198137 8   373 
0.199730 9   374 
0.201336 9   375 
0.202954 10   376 
0.204585 9   377 
0.206230 10   378 
0.207888 10   379 
0.209559 10   380 
0.211243 10   381 
0.212942 11   382 
0.214653 11   383 
0.216379 11   384 
0.218118 12   385 
0.219871 11   386 
0.221639 12   387 
0.223421 13   388 
0.225216 12   389 
0.227027 13   390 
0.228852 13   391 
0.230691 14   392 
0.232546 13   393 
0.234415 14   394 
0.236300 15   395 
0.238199 15   396 
0.240114 15   397 
0.242044 15   398 
0.243990 16   399 
0.245951 16   400 
0.247928 17   401 
0.249921 17   402 
0.251930 17   403 
0.253955 18   404 
0.255997 18   405 
0.258054 19   406 
0.260129 19   407 
0.262220 19   408 
0.264328 20   409 
0.266452 20   410 
0.268594 21   411 
0.270753 21   412 
0.272930 22   413 
0.275124 22   414 
0.277335 23   415 
0.279565 24   416 
0.281812 24   417 
0.284077 24   418 
0.286361 25   419 
0.288663 26   420 
0.290983 26   421 
0.293322 26   422 
0.295680 28   423 
0.298057 28   424 
0.300453 29   425 
0.302868 29   426 
0.305303 30   427 
0.307757 31   428 
0.310231 31   429 
0.312725 32   430 
0.315239 33   431 
0.317773 34   432 
0.320327 34   433 
0.322902 35   434 
0.325498 36   435 
0.328114 37   436 
0.330752 38   437 
0.333410 38   438 
0.336090 39   439 
0.338792 41   440 
0.341516 41   441 
0.344261 42   442 
0.347028 43   443 
0.349818 44   444 
0.352630 45   445 
0.355464 46   446 
0.358322 48   447 
0.361202 48   448 
0.364106 49   449 
0.367033 51   450 
0.369983 51   451 
0.372957 53   452 
0.375955 54   453 
0.378977 55   454 
0.382024 57   455 
0.385094 57   456 
0.388190 59   457 
0.391311 61   458 
0.394456 61   459 
0.397627 64   460 
0.400823 64   461 
0.404045 66   462 
0.407293 68   463 
0.410567 69   464 
0.413868 70   465 
0.417194 72   466 
0.420548 74   467 
0.423929 76   468 
0.427336 77   469 
0.430772 78   470 
0.434234 81   471 
0.437725 83   472 
0.441244 84   473 
0.444790 86   474 
0.448366 88   475 
0.451970 90   476 
0.455603 92   477 
0.459266 94   478 
0.462957 96   479 
0.466679 99   480 
0.470430 100   481 
0.474212 103   482 
0.478024 105   483 
0.481866 107   484 
0.485740 110   485 
0.489645 112   486 
0.493581 115   487 
0.497548 117   488 
0.501548 120   489 
0.505579 122   490 
0.509644 126   491 
0.513740 128   492 
0.517870 130   493 
0.522033 134   494 
0.526229 136   495 
0.530459 140   496 
0.534723 142   497 
0.539022 146   498 
0.543355 149   499 
0.547723 152   500 
0.552125 156   501 
0.556564 159   502 
0.561038 162   503 
0.565548 166   504 
0.570094 169   505 
0.574676 173   506 
0.579296 177   507 
0.583953 181   508 
0.588647 185   509 
0.593379 188   510 
0.598148 193   511 
0.602957 197   512 
0.607804 201   513 
0.612689 206   514 
0.617614 210   515 
0.622579 214   516 
0.627584 219   517 
0.632629 224   518 
0.637714 229   519 
0.642840 233   520 
0.648008 239   521 
0.653217 243   522 
0.658468 249   523 
0.663761 254   524 
0.669096 259   525 
0.674475 265   526 
0.679897 271   527 
0.685362 276   528 
0.690871 282   529 
0.696425 289   530 
0.702023 294   531 
0.707666 300   532 
0.713355 307   533 
0.719089 313   534 
0.724870 320   535 
0.730696 326   536 
0.736570 334   537 
0.742491 340   538 
0.748460 347   539 
0.754476 355   540 
0.760541 362   541 
0.766655 370   542 
0.772817 377   543 
0.779030 385   544 
0.785292 393   545 
0.791604 401   546 
0.797968 409   547 
0.804382 418   548 
0.810848 427   549 
0.817366 435   550 
0.823937 444   551 
0.830560 453   552 
0.837236 463   553 
0.843966 472   554 
0.850751 481   555 
0.857589 491   556 
0.864483 502   557 
0.871432 511   558 
0.878437 522   559 
0.885499 532   560 
0.892617 543   561 
0.899792 554   562 
0.907025 565   563 
0.914316 576   564 
0.921666 588   565 
0.929075 600   566 
0.936543 611   567 
0.944071 624   568 
0.951660 636   569 
0.959310 648   570 
0.967022 662   571 
0.974795 674   572 
0.982631 688   573 
0.990530 701   574 
0.998492 715   575 
1.006519 729   576 
1.014610 743   577 
1.022766 758   578 
1.030987 772   579 
1.039275 787   580 
1.047629 803   581 
1.056050 817   582 
1.064539 834   583 
1.073097 850   584 
1.081723 865   585 
1.090418 883   586 
1.099183 899   587 
1.108019 916   588 
1.116926 934   589 
1.125904 951   590 
1.134955 969   591 
1.144078 987   592 
1.153275 1006   593 
1.162546 1024   594 
1.171891 1044   595 
1.181311 1063   596 
1.190807 1083   597 
1.200379 1103   598 
1.210029 1123   599 
1.219755 1143   600 
1.229560 1165   601 
1.239444 1186   602 
1.249408 1207   603 
1.259451 1229   604 
1.269575 1252   605 
1.279780 1274   606 
1.290068 1297   607 
1.300438 1320   608 
1.310892 1344   609 
1.321429 1368   610 
1.332052 1392   611 
1.342759 1416   612 
1.353553 1441   613 
1.364434 1467   614 
1.375402 1492   615 
1.386458 1519   616 
1.397603 1544   617 
1.408838 1572   618 
1.420163 1598   619 
1.431579 1626   620 
1.443086 1653   621 
1.454687 1682   622 
1.466380 1710   623 
1.478168 1739   624 
1.490050 1768   625 
1.502028 1798   626 
1.514102 1827   627 
1.526273 1858   628 
1.538542 1889   629 
1.550909 1920   630 
1.563376 1951   631 
1.575943 1983   632 
1.588612 2015   633 
1.601382 2047   634 
1.614254 2081   635 
1.627231 2113   636 
1.640311 2148   637 
1.653497 2181   638 
1.666788 2215   639 
1.680187 2251   640 
1.693693 2285   641 
1.707308 2321   642 
1.721032 2356   643 
1.734867 2393   644 
1.748812 2429   645 
1.762870 2465   646 
1.777041 2503   647 
1.791326 2540   648 
1.805725 2579   649 
1.820241 2616   650 
1.834873 2655   651 
