@ lambda (microns) Background Intensity [ERG/CM^2/SEC/HZ/SR]
@-----------------------------------------------------------
3.1600e+01     3.5328e-17
3.3800e+01     4.0212e-17
3.6200e+01     4.5446e-17
3.8800e+01     5.1563e-17
4.1600e+01     5.8870e-17
4.4600e+01     6.6700e-17
4.7800e+01     7.5244e-17
5.1200e+01     8.6240e-17
5.4900e+01     9.8023e-17
5.8800e+01     1.1065e-16
6.3000e+01     1.2604e-16
6.7500e+01     1.4320e-16
7.2300e+01     1.6158e-16
7.7500e+01     1.8325e-16
8.3000e+01     2.0938e-16
8.9000e+01     2.3739e-16
9.5300e+01     2.6672e-16
1.0200e+02     2.8978e-16
1.0900e+02     3.1450e-16
1.1700e+02     3.4098e-16
1.2600e+02     3.4820e-16
1.3500e+02     3.4849e-16
1.4400e+02     3.4881e-16
1.5500e+02     3.4189e-16
1.6600e+02     3.2369e-16
1.7700e+02     3.0418e-16
1.9000e+02     2.8317e-16
2.0400e+02     2.5928e-16
2.1800e+02     2.3369e-16
2.3400e+02     2.0627e-16
2.5100e+02     1.8368e-16
2.6900e+02     1.6188e-16
2.8800e+02     1.3851e-16
3.0800e+02     1.1867e-16
3.3100e+02     1.0509e-16
3.5400e+02     9.0536e-17
3.7900e+02     7.6554e-17
4.0700e+02     8.1249e-17
4.3600e+02     8.6281e-17
4.6700e+02     9.1672e-17
5.0000e+02     1.3414e-16
5.3600e+02     1.9256e-16
5.7400e+02     2.5515e-16
6.1500e+02     3.5659e-16
6.5900e+02     5.1600e-16
7.0700e+02     6.8680e-16
7.5700e+02     8.7482e-16
8.1100e+02     1.1372e-15
8.6900e+02     1.4183e-15
9.3100e+02     1.7195e-15
9.9800e+02     2.0140e-15
1.0700e+03     2.3195e-15
1.1500e+03     2.6469e-15
1.2300e+03     2.9348e-15
1.3200e+03     3.1506e-15
1.4100e+03     3.3819e-15
1.5100e+03     3.6149e-15
1.6200e+03     3.6816e-15
1.7300e+03     3.7531e-15
1.8600e+03     3.8297e-15
1.9900e+03     3.8010e-15
2.1300e+03     3.7312e-15
2.2900e+03     3.6564e-15
2.4500e+03     3.5497e-15
2.6300e+03     3.3963e-15
2.8100e+03     3.2319e-15
3.0100e+03     3.0565e-15
3.2300e+03     2.8788e-15
3.4600e+03     2.6884e-15
3.7100e+03     2.4844e-15
3.9700e+03     2.3056e-15
4.2600e+03     2.1281e-15
4.5600e+03     1.9379e-15
4.8900e+03     1.7630e-15
5.0000e+03     1.7168e-15
